OBJECTID,Type,Provider,Latitude,Longitude,X,Y,Location_T,City,Borough Name
76,Free,NYCHA,40.694382,-73.974614,991289.5886,192259.5552,Outdoor,Brooklyn,Brooklyn
77,Free,NYCHA,40.693724,-73.977351,990530.6692,192019.6183,Outdoor,Brooklyn,Brooklyn
78,Free,NYCHA,40.69374,-73.977796,990407.2662,192025.4162,Outdoor,Brooklyn,Brooklyn
79,Free,NYCHA,40.69368,-73.977246,990559.846,192003.5954,Outdoor,Brooklyn,Brooklyn
80,Free,NYCHA,40.693509,-73.976981,990633.2933,191941.3143,Outdoor,Brooklyn,Brooklyn
81,Free,NYCHA,40.693493,-73.976635,990729.2433,191935.5105,Outdoor,Brooklyn,Brooklyn
37,Limited Free,ALTICEUSA,40.888783,-73.840133,1028452.504,263125.8924,Outdoor,Bronx,Bronx
75,Free,NYCHA,40.693392,-73.973923,991481.3133,191898.9253,Outdoor,Brooklyn,Brooklyn
9347,Free,LinkNYC - Citybridge,40.769096,-73.912837,1008393.576,219491.0213,Outdoor Kiosk,Queens,Queens
16,Limited Free,ALTICEUSA,40.864781,-73.894626,1013395.964,254358.2052,Outdoor,Bronx,Bronx
17,Limited Free,ALTICEUSA,40.865167,-73.894227,1013506.156,254498.973,Outdoor,Bronx,Bronx
18,Limited Free,ALTICEUSA,40.650721,-73.968489,992993.8545,176353.1611,Outdoor,Brooklyn,Brooklyn
8641,Free,Spot On Networks,40.755727,-73.944583,999603.2262,214613.2746,Indoor AP - Community Center - Computer Rm,Queens,Queens
8642,Free,Spot On Networks,40.755333,-73.944131,999728.5438,214469.807,Indoor AP - Queens Public Library,Queens,Queens
8643,Free,Spot On Networks,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Management Office,Queens,Queens
8644,Free,Spot On Networks,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Management Office,Queens,Queens
8645,Free,Spot On Networks,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Maintenance Area,Queens,Queens
8646,Free,Spot On Networks,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Maintenance Area,Queens,Queens
8647,Free,Spot On Networks,40.755751,-73.945166,999441.7012,214621.9169,Indoor AP - North Maintenance Area,Queens,Queens
8648,Free,Spot On Networks,40.75529,-73.945633,999312.4236,214453.8789,Indoor AP - South Management Office,Queens,Queens
8649,Free,Spot On Networks,40.75529,-73.945633,999312.4236,214453.8789,Indoor AP - South Management Office,Queens,Queens
8650,Free,Spot On Networks,40.755636,-73.947657,998751.5973,214579.5965,Indoor AP - South Maintenance Area,Queens,Queens
8651,Free,Spot On Networks,40.755636,-73.947657,998751.5973,214579.5965,Indoor AP - South Maintenance Area,Queens,Queens
8652,Free,Spot On Networks,40.755636,-73.947657,998751.5973,214579.5965,Indoor AP - South Maintenance Area,Queens,Queens
9309,Free,LinkNYC - Citybridge,40.780942,-73.980966,989521.3582,223795.7179,Outdoor Kiosk,New York,Manhattan
9310,Free,LinkNYC - Citybridge,40.577391,-74.102671,955729.0778,149652.2037,Outdoor Kiosk,Staten Island,Staten Island
9311,Free,LinkNYC - Citybridge,40.808293,-73.923332,1005473.954,233769.1864,Outdoor Kiosk,Bronx,Bronx
9312,Free,LinkNYC - Citybridge,40.799659,-73.938923,1001160.136,230620.0581,Outdoor Kiosk,New York,Manhattan
9313,Free,LinkNYC - Citybridge,40.800096,-73.938605,1001248.057,230779.3996,Outdoor Kiosk,New York,Manhattan
9314,Free,LinkNYC - Citybridge,40.724065,-74.007972,982040.3152,203073.0485,Outdoor Kiosk,New York,Manhattan
9315,Free,LinkNYC - Citybridge,40.576541,-74.103479,955504.1295,149342.854,Outdoor Kiosk,Staten Island,Staten Island
